"Date","Open","High","Low","Close","Volume","Volatility","LogReturn"
2025-05-16,2547.058230274,2645.6078120419,2532.0271296911,2536.2975988505,21298907762.64,4.45928879837905,0.0241601934029054
2025-05-15,2610.0277867363,2645.0742005885,2482.2129171881,2546.8568767538,26637688883.37,6.23982948488258,0.00415462215146611
2025-05-14,2680.2622384313,2721.9499115008,2549.6849943939,2610.063120705,26602676587.68,6.42716651515872,0.0245144036743667
2025-05-13,2496.3373512576,2736.890090638,2418.3256055346,2680.129604376,33528741589.68,12.7612754319008,0.0264907479749263
2025-05-12,2510.2893351913,2620.8971419475,2411.5945061584,2496.3976889157,32121858920.52,8.33778930798629,-0.071016384884758
2025-05-11,2582.7105445325,2603.2644633239,2441.7308316345,2510.237906047,26496368543.02,6.25442258836789,0.00552876362719967
2025-05-10,2345.7603858159,2597.5434737718,2320.2351186358,2582.422704863,30265913403.28,11.8216829311638,0.0283504592728905
2025-05-09,2206.1282390533,2486.0067281744,2186.0544918405,2345.5072621678,43766026875.04,13.5963191542581,-0.0962262962159173
2025-05-08,1811.5463369158,2222.2055677641,1809.4569221941,2206.5146753165,37777245240.79,22.7843272434706,-0.061087494341443
2025-05-07,1815.0188898478,1849.6584854543,1788.6873700468,1811.6066452415,50540755038.65,3.35925514321302,-0.197200099798464
2025-05-06,1819.7339890887,1820.7965776715,1753.3154325012,1815.087467964,13206516310.18,3.70829723327275,0.00191955741656891
2025-05-05,1808.7048999912,1832.0507257283,1783.3148204788,1819.6974998047,11389336488.74,2.69451944591609,0.00253662010462463
2025-05-04,1833.6472066094,1849.9985270593,1804.4951574738,1808.5942798561,8918979887.03,2.48157712244114,-0.00612037580353775
2025-05-03,1842.7181465601,1848.2468817888,1812.8156720582,1833.8397115605,8344452620.45,1.92276880741318,0.0138620691656834
2025-05-02,1839.174819845,1869.5300891533,1814.7304225713,1842.7078282867,13570171871.71,2.97957899329104,0.00482416388131757
2025-05-01,1794.0410060881,1872.9395217592,1793.1511490282,1839.2215835716,15861442721.49,4.4474107592991,-0.00189370591718152
2025-04-30,1799.2090834497,1816.6899379324,1736.1429703484,1793.7753622537,14810431362.32,4.47679862918232,-0.0250198900408911
2025-04-29,1798.9121769531,1842.0331133691,1782.2812586047,1799.1756569895,14734257744.36,3.32155485575757,0.0030060520020756
2025-04-28,1792.4462035133,1827.48228733,1747.7268073738,1798.8517797249,17043640437.12,4.44953270005395,-0.000180030459006275
2025-04-27,1822.1755598262,1856.443870277,1785.902085681,1792.8650336325,11321944112.9,3.87129462996026,-0.00333364346234077
2025-04-26,1786.5329530372,1839.3630104067,1781.4738771609,1821.8811558834,11926379866.87,3.24030593151866,0.0160546516814701
2025-04-25,1770.0036763023,1826.6960807747,1740.3318919899,1786.6344969706,17459399280.52,4.87932256531934,-0.0195358885979493
2025-04-24,1795.9794805703,1801.6914146029,1724.7407800218,1769.8316871227,15207402758.94,4.28460544307917,-0.00944923078246607
2025-04-23,1757.1965379259,1829.709977089,1746.9240125515,1796.1041889031,22904644755.89,4.71125242684669,0.0147355297929632
2025-04-22,1579.8152141575,1773.6392019981,1542.0003234914,1757.3317029388,23747917554.97,14.6624033260897,-0.0218233990706658
2025-04-21,1587.460958383,1656.1195756454,1566.1475149166,1579.734555934,15403785610.72,5.66767077033795,-0.106539750413985
2025-04-20,1612.9661143546,1618.4367653849,1566.6915243639,1587.5142283326,7642784468.77,3.20807985738155,0.00491258412229723
2025-04-19,1588.9697809208,1629.0515194549,1585.4729851869,1612.9228087159,7168138699.95,2.74256532699738,0.0158785277994102
2025-04-18,1582.3971932118,1599.4168202893,1573.9039144175,1588.9246734554,7123507323.17,1.61229468689946,-0.0149904608419735
2025-04-17,1578.0142090793,1615.3068384679,1564.1957394894,1582.5483016142,11312160795.83,3.23895049134703,-0.0040210845137354
2025-04-16,1589.0310150513,1610.7820977191,1540.0337718236,1578.1053743846,15339621550.62,4.45229358177228,-0.00281139954670451
2025-04-15,1622.7718927935,1659.8361925272,1585.2290824207,1588.6324584921,13175452875.3,4.59751061981166,0.00664855977395806
2025-04-14,1596.8818489288,1689.8575457287,1596.0865089923,1622.7698983048,16518325094.07,5.87213367096021,0.0212609458004884
2025-04-13,1643.5011032957,1648.2867346548,1564.8388218276,1596.6857525708,13909890792.14,5.07744793476942,-0.0162044266685113
2025-04-12,1567.1557441535,1666.0175736076,1546.8195207785,1643.528527036,12110995012.86,7.60601192790095,0.0289153951855452
2025-04-11,1522.4729716422,1587.5385750578,1505.0019526192,1567.1498414994,14871838812.94,5.42122086736113,-0.0475868894950375
2025-04-10,1668.2018424709,1669.3941751424,1474.9141400078,1522.5187737981,21379604306.72,11.6580638015926,-0.0288925305394194
2025-04-09,1472.6014126378,1687.1880398805,1386.7993127909,1668.0400320881,39252195854.94,20.3985086875292,0.0912832522736142
2025-04-08,1554.9321177056,1617.339825299,1447.6101233218,1472.553129615,21315312919.22,10.9155698853045,-0.124651586576086
2025-04-07,1576.9497867014,1634.0411747919,1415.3734803131,1555.2409524507,46073959046.97,13.8664969755442,0.0546327698463793
2025-04-06,1805.9630169361,1815.574834001,1539.4380136682,1576.7280882451,22154445575.5,15.2902810159025,0.0137213827089306
2025-04-05,1815.3450193491,1826.2985962634,1767.5135896962,1805.9732407073,6374712478.76,3.23822777161543,0.135747768320313
2025-04-04,1815.6098530552,1833.956836174,1760.5885995426,1815.3352305868,18061720813.64,4.04096929238076,0.00517051270877023
2025-04-03,1794.9760194238,1844.0711051529,1751.3808810832,1815.6372608262,16450974372.86,5.16386977133289,0.000166363276401071
2025-04-02,1905.4846097142,1951.1803047187,1782.7602229877,1795.3132055131,22593742104.01,8.83870071017057,-0.0112570195160293
2025-04-01,1823.5623747635,1926.3030044112,1820.3503595705,1905.4914001311,15001220419.89,5.81020130196759,0.0595604336692235
2025-03-31,1806.3165007464,1852.5514409202,1778.692293073,1823.4800048352,15765030938.47,4.08893722759441,-0.0439931622000342
2025-03-30,1827.3110093867,1847.5705346317,1769.4127525521,1806.2186461858,9854857162.01,4.27720194745786,-0.0095112517243523
2025-03-29,1895.5496616399,1911.9008842639,1799.200857799,1827.3203233799,12194771784.6,5.94550640089269,0.0116150753333741
